id_cuota,id_pago,monto,fecha_expiracion,pagado
0,0,68350,2018-09-19,0
1,1,22783.33333,2019-01-1,1
2,1,22783.33333,2019-11-18,1
3,1,22783.33333,2020-08-19,0
4,2,7203,2020-05-15,1
5,2,7203,2020-08-4,1
6,2,7203,2020-08-6,0
7,2,7203,2020-09-26,0
8,3,68350,2018-08-28,1
9,4,60787,2020-07-31,0
10,5,48667,2018-12-26,1
11,6,45377,2019-02-15,0
12,6,45377,2020-08-21,0
13,7,12157.4,2020-07-27,1
14,7,12157.4,2020-09-1,1
15,7,12157.4,2020-10-14,1
16,7,12157.4,2020-10-20,1
17,7,12157.4,2020-10-20,1
18,9,48667,2018-11-30,1
19,10,23640.75,2018-11-5,0
20,10,23640.75,2018-12-27,0
21,10,23640.75,2019-03-31,0
22,10,23640.75,2020-01-6,0
23,12,68037,2020-08-19,1
24,13,24333.5,2019-04-28,0
25,13,24333.5,2019-09-5,0
26,14,12166.75,2019-02-2,0
27,14,12166.75,2019-03-18,0
28,14,12166.75,2019-06-7,0
29,14,12166.75,2020-09-26,0
30,15,20262.33333,2019-12-3,0
31,15,20262.33333,2020-04-21,0
32,15,20262.33333,2020-09-20,0
33,16,20262.33333,2019-03-21,1
34,16,20262.33333,2020-01-17,0
35,16,20262.33333,2020-09-19,0
36,18,12166.75,2019-04-20,1
37,18,12166.75,2019-08-27,0
38,18,12166.75,2020-02-5,0
39,18,12166.75,2020-03-1,0
40,20,68350,2019-08-19,1
41,21,19226,2019-06-20,1
42,21,19226,2020-03-17,0
43,22,7368.5,2018-09-17,0
44,22,7368.5,2020-03-28,0
45,24,16222.33333,2018-12-9,1
46,24,16222.33333,2020-02-16,0
47,24,16222.33333,2020-03-21,0
48,25,48667,2018-10-10,1
49,26,333.3333333,2018-07-20,0
50,26,333.3333333,2020-01-10,0
51,26,333.3333333,2020-02-8,0
52,28,8707.75,2020-04-6,1
53,28,8707.75,2020-09-25,1
54,28,8707.75,2020-10-3,0
55,28,8707.75,2020-10-9,0
56,29,1188.333333,2018-07-22,0
57,29,1188.333333,2020-06-17,0
58,29,1188.333333,2020-09-11,0
59,30,17254.25,2018-12-21,1
60,30,17254.25,2019-04-28,1
61,30,17254.25,2020-10-20,0
62,30,17254.25,2020-10-20,0
63,32,38452,2019-08-11,1
64,33,68350,2020-10-9,1
65,34,24333.5,2019-03-20,0
66,34,24333.5,2020-09-21,0
67,35,24333.5,2018-08-14,1
68,35,24333.5,2019-08-22,0
69,36,14514,2020-05-11,1
70,36,14514,2020-10-6,1
71,36,14514,2020-10-12,0
72,36,14514,2020-10-19,0
73,38,6966.2,2020-05-1,1
74,38,6966.2,2020-09-9,1
75,38,6966.2,2020-10-19,1
76,38,6966.2,2020-10-19,0
77,38,6966.2,2020-10-19,0
78,39,24333.5,2020-06-3,1
79,39,24333.5,2020-07-3,0
80,40,60787,2020-08-29,1
81,41,9613,2020-08-3,0
82,41,9613,2020-08-29,0
83,41,9613,2020-10-6,0
84,41,9613,2020-10-11,0
85,42,31084,2019-11-20,0
86,43,17234.33333,2018-08-18,0
87,43,17234.33333,2020-05-30,0
88,43,17234.33333,2020-08-8,0
89,44,15542,2018-11-21,1
90,44,15542,2020-01-11,1
91,45,9733.4,2019-01-7,1
92,45,9733.4,2020-04-30,1
93,45,9733.4,2020-06-1,1
94,45,9733.4,2020-07-3,0
95,45,9733.4,2020-07-17,0
96,46,24333.5,2018-09-19,1
97,46,24333.5,2019-01-19,0
98,47,34831,2020-06-27,1
99,48,22783.33333,2018-08-11,1
100,48,22783.33333,2018-12-19,1
101,48,22783.33333,2019-01-16,0
102,49,34018.5,2019-07-2,1
103,49,34018.5,2020-07-11,1
104,50,30538,2018-07-31,1
